,pond,start_date,date_time,Productivity (Soluble Protein),id,pHam,pHpm,height,mat_density,wateradded,nutrientsadded,pHadjusted,innoculation,harvested,comments,biomassAMsieve1,biomassAMsieve2,biomassAMsieve3,biomassPMsieve1,biomassPMsieve2,biomassPMsieve3,dryweight,WMPerm2,DMPerm2,WMPerPond,DMPerPond,Sieve1,Sieve2,Sieve3,cal_sieve1,cal_sieve2,cal_sieve3,EC,watertemp,DO,surfacearea,SAcorrection,effectiveSA,dailydiff,netremoval,total
24,250A,2020-12-28 00:00:00,2021-01-22,0.338833148071289,2029,5.2,4.8,15.0,1243.1,No,No,Yes,0.0,0.0,200g NaHCO3 PM,45.0,42.0,39.3,,,,4.65,,,,,1425.0,1302.5,1183.8,22.2,21.2,20.3,1.3,,6.33,250.0,,250.0,,,
25,250A,2020-12-28 00:00:00,2021-01-25,0.24358121602535246,2030,5.6,5.3,14.5,1115.3,,,,,,,42.9,36.9,40.3,,,,4.95,,,,,1292.5,980.6,1250.0,22.2,21.2,20.3,,,,250.0,,250.0,,,
26,250A,2020-12-28 00:00:00,2021-01-26,0.2352156945261462,2031,4.8,5.0,14.5,,,,,,,200g NaHCO3 AM,,,,,,,4.95,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
27,250A,2020-12-28 00:00:00,2021-01-27,0.24928619265365598,2032,4.6,5.1,14.5,1194.7,,,,,,300g NaHCO3 AM,42.4,40.1,39.7,,,,4.95,,,,,1258.8,1181.9,1207.5,22.2,21.2,20.3,,,,250.0,,250.0,,,
28,250A,2020-12-29 00:00:00,2021-01-28,0.22446033022499084,2033,4.6,5.3,14.5,,,,,,,300g NaHCO3 AM,,,,,,,4.95,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
29,250A,2020-12-30 00:00:00,2021-01-29,0.2262650612449646,2034,4.8,5.1,14.5,1261.6,,,,,,200g NaHCO3 AM,43.8,42.0,39.9,,,,4.95,,,,,1350.0,1301.3,1221.9,22.2,21.2,20.3,1.3,,7.89,250.0,,250.0,,,
30,250A,2021-01-04 00:00:00,2021-01-29,0.29829110771942136,2034,4.8,5.1,14.5,1261.6,,,,,,200g NaHCO3 AM,43.8,42.0,39.9,,,,4.95,,,,,1350.0,1301.3,1221.9,22.2,21.2,20.3,1.3,,7.89,250.0,,250.0,,,
31,250A,2021-01-04 00:00:00,2021-01-29,0.29829110771942136,2034,4.8,5.1,14.5,1261.6,,,,,,200g NaHCO3 AM,43.8,42.0,39.9,,,,4.95,,,,,1350.0,1301.3,1221.9,22.2,21.2,20.3,1.3,,7.89,250.0,,250.0,,,
32,250A,2021-01-04 00:00:00,2021-02-01,0.29793025956630703,2035,6.2,6.2,14.5,1290.0,,,,,,,43.5,42.5,40.3,,,,4.95,,,,,1329.4,1333.8,1246.3,22.2,21.2,20.3,,,,250.0,,250.0,,,
33,250A,2021-01-04 00:00:00,2021-02-02,0.33877065971966447,2036,6.0,5.9,14.5,1456.7,,,,,,,,,,,,,4.95,166.7,8.3,41680.0,2063.0,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
34,250A,2021-01-04 00:00:00,2021-02-03,0.32751762468338014,2037,5.7,5.2,14.5,,,,,,,3 seive MD: 1386.9,48.1,44.7,41.2,,,,4.95,,,,,1619.4,1471.3,1302.5,22.2,21.2,20.3,,,,250.0,,250.0,,,
35,250A,2021-01-05 00:00:00,2021-02-04,0.33332568349838254,2038,5.1,4.9,14.5,,,,,,,100g NaHCO3 AM 100g NaHCO3 PM,,,,,,,4.95,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
36,250A,2021-01-06 00:00:00,2021-02-05,0.23114660348701477,2039,5.2,4.7,15.0,,,,,,,250g NaHCO3 PM 3 seive MD: 1492.8,50.9,45.5,43.8,,,,4.95,,,,,1793.8,1518.8,1466.9,22.2,21.2,20.3,,,,250.0,,250.0,,,
37,250A,2021-01-07 00:00:00,2021-02-05,0.2092976128518993,2039,5.2,4.7,15.0,,,,,,,250g NaHCO3 PM 3 seive MD: 1492.8,50.9,45.5,43.8,,,,4.95,,,,,1793.8,1518.8,1466.9,22.2,21.2,20.3,,,,250.0,,250.0,,,
38,250A,2021-01-08 00:00:00,2021-02-05,0.21652952728271485,2039,5.2,4.7,15.0,,,,,,,250g NaHCO3 PM 3 seive MD: 1492.8,50.9,45.5,43.8,,,,4.95,,,,,1793.8,1518.8,1466.9,22.2,21.2,20.3,,,,250.0,,250.0,,,
39,250A,2021-01-11 00:00:00,2021-02-08,0.193310409321785,2766,5.9,5.6,14.0,,,,,,,,,,,,,,4.95,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
40,250A,2021-01-11 00:00:00,2021-02-09,0.1867061986255646,2767,5.3,4.8,14.5,,,,,,,,,,,,,,4.95,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
41,250A,2021-01-11 00:00:00,2021-02-10,0.2950105998258591,2794,5.1,5.2,14.0,1843.1,,,,,,100g NaHCO3 AM,,,,,,,5.13,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
42,250A,2021-01-12 00:00:00,2021-02-11,0.2670765469341278,2816,4.8,5.0,14.0,,,,,,,200g NaHCO3 AM,,,,,,,5.13,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
43,250A,2021-01-13 00:00:00,2021-02-12,0.26714724749374386,2817,4.8,5.3,14.0,,,,,,,200g NaHCO3 AM,,,,,,,5.13,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
44,250A,2021-01-14 00:00:00,2021-02-12,0.2257567045685341,2817,4.8,5.3,14.0,,,,,,,200g NaHCO3 AM,,,,,,,5.13,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
45,250A,2021-01-15 00:00:00,2021-02-12,0.23341210633482248,2817,4.8,5.3,14.0,,,,,,,200g NaHCO3 AM,,,,,,,5.13,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
46,250A,2021-01-18 00:00:00,2021-02-15,0.43130314637660977,2860,5.7,5.7,13.5,2347.9,,,,,,,,,,,,,5.13,,,,,,,,22.2,21.2,20.3,7.5,19.0,7.26,250.0,,250.0,,,
47,250A,2021-01-18 00:00:00,2021-02-16,0.6397065662630672,2861,4.6,6.3,13.5,,Yes,,,,182000.0,300g NaHCO3 AM,,,,,,,5.13,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
48,250A,2021-01-18 00:00:00,2021-02-17,0.6195151113939285,2862,6.8,6.8,15.5,,,,,,,,,,,,,,5.13,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
49,250A,2021-01-19 00:00:00,2021-02-18,0.6385448339691163,2863,6.7,6.9,15.5,,,,,,,,,,,,,,4.57,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
50,250A,2021-01-20 00:00:00,2021-02-19,0.5807500251331329,2913,6.8,6.8,15.0,,,,,,,,,,,,,,4.57,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
51,250A,2021-01-21 00:00:00,2021-02-19,0.5796629813556015,2913,6.8,6.8,15.0,,,,,,,,,,,,,,4.57,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
52,250A,2021-01-22 00:00:00,2021-02-19,0.6020286388819558,2913,6.8,6.8,15.0,,,,,,,,,,,,,,4.57,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
53,250A,2021-01-25 00:00:00,2021-02-22,0.48151952404975884,2935,6.7,6.7,15.0,1976.6,,,,,,Long roots pale,,,,,,,4.57,,,,,,,,22.2,21.2,20.3,1.2,26.0,7.22,250.0,,250.0,,,
54,250A,2021-01-25 00:00:00,2021-02-23,0.46330438386785566,2936,6.6,6.6,15.0,,,,,,,,,,,,,,4.57,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
55,250A,2021-01-25 00:00:00,2021-02-24,0.44572802282524104,2969,6.5,6.3,15.0,,,,,,,,,,,,,,4.39,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
56,250A,2021-01-26 00:00:00,2021-02-25,0.42645785856246937,2970,5.8,5.4,15.0,,,,,,,,,,,,,,4.39,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
57,250A,2021-01-27 00:00:00,2021-02-26,0.4243310797929763,3008,5.0,5.2,14.8,,,,,,,150g NaHCO3 AM,,,,,,,4.39,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
58,250B,2020-12-01 00:00:00,2020-12-30,0.21163084458318243,2089,6.3,6.4,16.0,1155.3,No,No,No,0.0,0.0,,42.6,39.0,39.5,,,,4.85,,,,,1275.0,1111.9,1198.8,22.2,21.2,20.3,,,,250.0,,250.0,,,
59,250B,2020-12-02 00:00:00,2020-12-30,0.15809661791937696,2089,6.3,6.4,16.0,1155.3,No,No,No,0.0,0.0,,42.6,39.0,39.5,,,,4.85,,,,,1275.0,1111.9,1198.8,22.2,21.2,20.3,,,,250.0,,250.0,,,
60,250B,2020-12-03 00:00:00,2020-12-30,0.1718205514939626,2089,6.3,6.4,16.0,1155.3,No,No,No,0.0,0.0,,42.6,39.0,39.5,,,,4.85,,,,,1275.0,1111.9,1198.8,22.2,21.2,20.3,,,,250.0,,250.0,,,
61,250B,2020-12-04 00:00:00,2020-12-30,0.18218449820775248,2089,6.3,6.4,16.0,1155.3,No,No,No,0.0,0.0,,42.6,39.0,39.5,,,,4.85,,,,,1275.0,1111.9,1198.8,22.2,21.2,20.3,,,,250.0,,250.0,,,
62,250B,2020-12-07 00:00:00,2021-01-04,0.1636931044925962,2090,5.9,5.1,15.0,1388.4,No,No,No,0.0,0.0,,43.8,43.9,42.1,,,,4.71,,,,,1346.9,1417.5,1359.4,22.2,21.2,20.3,,,,250.0,,250.0,,,
63,250B,2020-12-07 00:00:00,2021-01-05,0.30346739206971796,2091,4.8,5.4,14.5,1285.9,No,No,Yes,0.0,116000.0,250g NaHCO3 AM,40.3,40.7,42.0,,,,4.71,361.5,17.0,90375.0,4257.0,1128.1,1219.4,1352.5,22.2,21.2,20.3,,,,250.0,,250.0,,,
64,250B,2020-12-07 00:00:00,2021-01-06,0.2825238565301896,2092,4.9,5.3,14.5,1045.9,No,No,Yes,0.0,0.0,200g NaHCO3 AM,38.8,36.2,38.8,,,,4.71,,-11.3,-60000.0,-2826.0,1035.6,939.4,1152.5,22.2,21.2,20.3,,,,250.0,,250.0,,,
65,250B,2020-12-08 00:00:00,2021-01-07,0.279246926021576,2093,4.7,5.6,14.5,,No,No,Yes,0.0,0.0,300g NaHCO3 AM,,,,,,,4.71,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
66,250B,2020-12-09 00:00:00,2021-01-08,0.23863916654968265,2094,5.2,5.1,14.0,1090.9,No,No,Yes,0.0,0.0,100g NaHCO3 AM,42.6,39.1,37.3,,,,4.71,,,,,1273.1,1121.3,1060.6,22.2,21.2,20.3,,,,250.0,,250.0,,,
67,250B,2020-12-10 00:00:00,2021-01-08,0.23707707142205076,2094,5.2,5.1,14.0,1090.9,No,No,Yes,0.0,0.0,100g NaHCO3 AM,42.6,39.1,37.3,,,,4.71,,,,,1273.1,1121.3,1060.6,22.2,21.2,20.3,,,,250.0,,250.0,,,
68,250B,2020-12-11 00:00:00,2021-01-08,0.24456757217850006,2094,5.2,5.1,14.0,1090.9,No,No,Yes,0.0,0.0,100g NaHCO3 AM,42.6,39.1,37.3,,,,4.71,,,,,1273.1,1121.3,1060.6,22.2,21.2,20.3,,,,250.0,,250.0,,,
69,250B,2020-12-14 00:00:00,2021-01-11,0.24256219999858314,2095,5.1,5.3,14.0,1212.8,No,No,Yes,0.0,0.0,150g NaHCO3 AM,42.8,41.3,39.0,,,,4.79,,,,,1283.8,1257.5,1168.1,22.2,21.2,20.3,,,,250.0,,250.0,,,
70,250B,2020-12-14 00:00:00,2021-01-12,0.2340792456238846,2096,4.7,4.5,14.0,,No,No,Yes,0.0,0.0,300g NaHCO3 PM,,,,,,,4.79,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
71,250B,2020-12-14 00:00:00,2021-01-13,0.25038888284683225,2097,5.0,5.3,14.0,1296.6,No,No,Yes,0.0,0.0,100g NaHCO3 AM,42.3,41.8,41.2,,,,4.79,,,,,1251.9,1286.9,1306.3,22.2,21.2,20.3,,,,250.0,,250.0,,,
72,250B,2020-12-15 00:00:00,2021-01-14,0.26422132184028624,2098,4.9,5.3,13.5,,No,No,Yes,0.0,0.0,200g NaHCO3 AM,,,,,,,4.79,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
73,250B,2020-12-16 00:00:00,2021-01-15,0.2966696577491759,2099,5.0,5.1,13.5,1372.2,No,No,Yes,0.0,0.0,150g NaHCO3 AM,44.1,41.8,43.7,,,,4.79,,,,,1369.4,1286.3,1458.1,22.2,21.2,20.3,,,,250.0,,250.0,,,
74,250B,2020-12-17 00:00:00,2021-01-15,0.307223043821269,2099,5.0,5.1,13.5,1372.2,No,No,Yes,0.0,0.0,150g NaHCO3 AM,44.1,41.8,43.7,,,,4.79,,,,,1369.4,1286.3,1458.1,22.2,21.2,20.3,,,,250.0,,250.0,,,
75,250B,2020-12-18 00:00:00,2021-01-15,0.27094736824035637,2099,5.0,5.1,13.5,1372.2,No,No,Yes,0.0,0.0,150g NaHCO3 AM,44.1,41.8,43.7,,,,4.79,,,,,1369.4,1286.3,1458.1,22.2,21.2,20.3,,,,250.0,,250.0,,,
76,250B,2020-12-21 00:00:00,2021-01-18,0.2594139953766551,2100,4.4,5.0,13.0,1424.4,Yes,No,Yes,0.0,0.0,450g NaHCO3 AM+0.5cm water,45.8,43.9,43.2,,,,5.0,,,,,1471.3,1418.8,1430.0,22.2,21.2,20.3,,,,250.0,,250.0,,,
77,250B,2020-12-21 00:00:00,2021-01-19,0.25095318764324853,2101,5.8,5.6,13.5,,No,No,No,0.0,0.0,,,,,,,,5.0,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
78,250B,2020-12-21 00:00:00,2021-01-20,0.261192641439438,2102,5.3,5.0,13.5,1484.1,No,No,Yes,0.0,0.0,200g NaHCO3 AM,47.6,45.4,43.6,,,,5.0,,,,,1583.1,1516.3,1451.9,22.2,21.2,20.3,,,,250.0,,250.0,,,
79,250B,2020-12-22 00:00:00,2021-01-21,0.35696018023681647,2103,4.8,5.1,13.0,,No,No,No,0.0,104000.0,,,,,,,,5.0,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
80,250B,2020-12-23 00:00:00,2021-01-22,0.34772316300868994,2104,4.6,5.3,13.0,1278.1,No,No,Yes,0.0,0.0,300g NaHCO3 AM,42.0,41.7,40.7,,,,5.0,,,,,1236.3,1282.5,1273.8,22.2,21.2,20.3,,,,250.0,,250.0,,,
81,250B,2020-12-28 00:00:00,2021-01-22,0.3561505635452271,2104,4.6,5.3,13.0,1278.1,No,No,Yes,0.0,0.0,300g NaHCO3 AM,42.0,41.7,40.7,,,,5.0,,,,,1236.3,1282.5,1273.8,22.2,21.2,20.3,,,,250.0,,250.0,,,
82,250B,2020-12-28 00:00:00,2021-01-22,0.3561505635452271,2104,4.6,5.3,13.0,1278.1,No,No,Yes,0.0,0.0,300g NaHCO3 AM,42.0,41.7,40.7,,,,5.0,,,,,1236.3,1282.5,1273.8,22.2,21.2,20.3,,,,250.0,,250.0,,,
83,250B,2020-12-28 00:00:00,2021-01-25,0.34415945751837307,2105,5.7,5.5,13.0,1312.2,Yes,,,,29600.0,1.5 cm water added,46.0,42.2,41.3,,,,5.1,,,,,1488.8,1316.3,1308.1,22.2,21.2,20.3,,,,250.0,,250.0,,,
84,250B,2020-12-28 00:00:00,2021-01-26,0.3331483320334861,2106,6.4,6.5,15.5,,,,,,,,,,,,,,5.1,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
85,250B,2020-12-28 00:00:00,2021-01-27,0.3187666259174347,2107,6.3,6.3,15.5,1442.8,,,,,,,45.9,43.2,44.5,,,,5.1,,,,,1482.5,1378.1,1507.5,22.2,21.2,20.3,,,,250.0,,250.0,,,
86,250B,2020-12-29 00:00:00,2021-01-28,0.31255867089748396,2108,6.1,6.0,15.0,,,,,,,,,,,,,,5.1,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
87,250B,2020-12-30 00:00:00,2021-01-29,0.33750470471954347,2109,5.7,5.5,15.0,1525.0,,,,,,,47.5,48.0,42.3,,,,5.1,,,,,1581.9,1676.9,1373.1,22.2,21.2,20.3,,,,250.0,,250.0,,,
88,250B,2021-01-04 00:00:00,2021-01-29,0.4180679674530029,2109,5.7,5.5,15.0,1525.0,,,,,,,47.5,48.0,42.3,,,,5.1,,,,,1581.9,1676.9,1373.1,22.2,21.2,20.3,,,,250.0,,250.0,,,
89,250B,2021-01-04 00:00:00,2021-01-29,0.4180679674530029,2109,5.7,5.5,15.0,1525.0,,,,,,,47.5,48.0,42.3,,,,5.1,,,,,1581.9,1676.9,1373.1,22.2,21.2,20.3,,,,250.0,,250.0,,,
90,250B,2021-01-04 00:00:00,2021-02-01,0.2222646486680848,2110,5.9,5.9,15.0,945.9,,,,,,,40.7,37.4,34.4,,,,5.1,,,,,1153.8,1012.5,879.4,22.2,21.2,20.3,,,,250.0,,250.0,,,
91,250B,2021-01-04 00:00:00,2021-02-02,0.5345011729589001,2111,5.7,5.5,15.0,1992.6,,,,,,,,,,,,,5.1,1046.6,53.4,261661.0,13345.0,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
92,250B,2021-01-04 00:00:00,2021-02-03,0.5175149355468749,2112,5.2,4.8,15.0,,,,,,,125g NaHCO3 PM 3 seive MD: 1986.9,66.5,60.3,44.8,,,,5.1,,,,,2766.3,2447.5,1526.3,22.2,21.2,20.3,,,,250.0,,250.0,,,
93,250B,2021-01-05 00:00:00,2021-02-04,0.548707457007408,2113,5.3,4.8,15.0,,,,,,,150g NaHCO3 PM,,,,,,,5.1,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
94,250B,2021-01-06 00:00:00,2021-02-05,0.4197548428745269,2114,5.4,4.9,15.0,,,,,,,150g NaHCO3 PM 3 seive MD: 2079.4,62.5,51.9,56.2,,,,5.1,,,,,2519.4,1920.6,2238.1,22.2,21.2,20.3,,,,250.0,,250.0,,,
95,250B,2021-01-07 00:00:00,2021-02-05,0.4094380337235023,2114,5.4,4.9,15.0,,,,,,,150g NaHCO3 PM 3 seive MD: 2079.4,62.5,51.9,56.2,,,,5.1,,,,,2519.4,1920.6,2238.1,22.2,21.2,20.3,,,,250.0,,250.0,,,
96,250B,2021-01-08 00:00:00,2021-02-05,0.4251224670767784,2114,5.4,4.9,15.0,,,,,,,150g NaHCO3 PM 3 seive MD: 2079.4,62.5,51.9,56.2,,,,5.1,,,,,2519.4,1920.6,2238.1,22.2,21.2,20.3,,,,250.0,,250.0,,,
97,250B,2021-01-11 00:00:00,2021-02-08,0.39655298453194754,2768,5.6,5.3,14.5,,,,,,,,,,,,,,5.1,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
98,250B,2021-01-11 00:00:00,2021-02-09,0.38321834629124607,2769,5.1,5.0,14.0,,,,,,,100g NaHCO3 AM,,,,,,,5.1,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
99,250B,2021-01-11 00:00:00,2021-02-10,0.5513745654315948,2795,4.8,5.0,14.5,2592.6,,,,,,200g NaHCO3 AM,,,,,,,5.15,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
100,250B,2021-01-12 00:00:00,2021-02-11,0.7792264789237976,2818,4.8,4.7,14.5,,,,,,205000.0,200g NaHCO3 AM 250g NaHCO3 PM,,,,,,,5.15,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
101,250B,2021-01-13 00:00:00,2021-02-12,0.7816518780841828,2819,5.1,5.1,14.5,,,,,,,200g NaHCO3 AM,,,,,,,5.15,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
102,250B,2021-01-14 00:00:00,2021-02-12,0.7908452357196805,2819,5.1,5.1,14.5,,,,,,,200g NaHCO3 AM,,,,,,,5.15,,,,,,,,22.2,21.2,20.3,,,,250.0,,250.0,,,
